id_seance,code_module,type_seance,date,heure_debut,heure_fin,salle,id_enseignant
1CP-ARCHI-COURS-SUN-W1,ARCHI-EVO,cours,2026-04-12,08:00,09:30,AMPHI-C,b2f1862e-7753-4039-8190-381ff41574a1
1CP-ARCHI-COURS-MON-W1,ARCHI-EVO,cours,2026-04-13,08:00,09:30,AMPHI-C,b2f1862e-7753-4039-8190-381ff41574a1
1CP-ARCHI-COURS-TUE-W1,ARCHI-EVO,cours,2026-04-14,08:00,09:30,AMPHI-C,b2f1862e-7753-4039-8190-381ff41574a1
1CP-ARCHI-COURS-WED-W1,ARCHI-EVO,cours,2026-04-15,08:00,09:30,AMPHI-C,b2f1862e-7753-4039-8190-381ff41574a1
1CP-ARCHI-COURS-THU-W1,ARCHI-EVO,cours,2026-04-16,08:00,09:30,AMPHI-C,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G1-ARCHI-TD-SUN-W1,ARCHI-EVO,TD,2026-04-12,09:30,11:00,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G2-ARCHI-TD-SUN-W1,ARCHI-EVO,TD,2026-04-12,09:30,11:00,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G3-IA-TD-SUN-W1,IA-INTRO,TD,2026-04-12,09:30,11:00,SALLE-1,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G4-WEB-TD-SUN-W1,DEV-WEB,TD,2026-04-12,09:30,11:00,SALLE-2,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G5-SEC-TD-SUN-W1,SECU,TD,2026-04-12,09:30,11:00,SALLE-3,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G6-BD-TD-SUN-W1,BD-ANALYSE,TD,2026-04-12,09:30,11:00,SALLE-5,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G7-CLOUD-TD-SUN-W1,CLOUD,TD,2026-04-12,09:30,11:00,SALLE-6,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G8-UX-TD-SUN-W1,UX-UI,TD,2026-04-12,09:30,11:00,SALLE-7,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G1-ARCHI-TD-MON-W1,ARCHI-EVO,TD,2026-04-13,09:30,11:00,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G2-ARCHI-TD-MON-W1,ARCHI-EVO,TD,2026-04-13,09:30,11:00,SALLE-4,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G3-IA-TD-MON-W1,IA-INTRO,TD,2026-04-13,09:30,11:00,SALLE-1,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G4-WEB-TD-MON-W1,DEV-WEB,TD,2026-04-13,09:30,11:00,SALLE-2,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G5-SEC-TD-MON-W1,SECU,TD,2026-04-13,09:30,11:00,SALLE-3,b2f1862e-7753-4039-8190-381ff41574a1
1CP-G6-BD-TD-MON-W1,BD-ANALYSE,TD,2026-04-13,09:30,11:00,SALLE-5,b2f1862e-7753-4039-8190-381ff41574a1
