id_seance,code_module,type_seance,date,heure_debut,heure_fin,salle,id_enseignant
1CP-ALG1-COURS-SUN-W1,ALG1,cours,2026-04-13,08:00,09:30,AMPHI-A,85884837-8d0d-412f-8967-781b824dd90f
1CP-ANAL1-COURS-SUN-W1,ANAL1,cours,2026-04-13,09:30,11:00,AMPHI-A,85884837-8d0d-412f-8967-781b824dd90f
1CP-ARCH1-COURS-SUN-W1,ARCH1,cours,2026-04-13,11:00,12:30,AMPHI-A,304d9e3c-902d-4536-bb17-d986b5a3d863
1CP-SYST1-COURS-SUN-W1,SYST1,cours,2026-04-13,13:30,15:00,AMPHI-A,327f3113-2d2c-4988-96bc-4f0994015c92
1CP-LOGM-COURS-SUN-W1,LOGM,cours,2026-04-13,15:00,16:30,AMPHI-A,2bc5e946-a188-4392-b298-6efac7889ef6
1CP-ALG1-TD-MON-G1-W1,ALG1,TD,2026-04-14,08:00,09:30,S-101,85884837-8d0d-412f-8967-781b824dd90f
1CP-ALG1-TD-MON-G2-W1,ALG1,TD,2026-04-14,09:30,11:00,S-101,85884837-8d0d-412f-8967-781b824dd90f
1CP-ANAL1-TD-MON-G1-W1,ANAL1,TD,2026-04-14,11:00,12:30,S-102,85884837-8d0d-412f-8967-781b824dd90f
1CP-ANAL1-TD-MON-G2-W1,ANAL1,TD,2026-04-14,13:30,15:00,S-102,85884837-8d0d-412f-8967-781b824dd90f
1CP-PRST1-COURS-MON-W1,PRST1,cours,2026-04-14,15:00,16:30,AMPHI-B,895e675a-2394-4cf5-90da-87dcc5f80380
1CP-ARCH1-TD-TUE-G1-W1,ARCH1,TD,2026-04-15,08:00,09:30,S-103,304d9e3c-902d-4536-bb17-d986b5a3d863
1CP-ARCH1-TD-TUE-G2-W1,ARCH1,TD,2026-04-15,09:30,11:00,S-103,304d9e3c-902d-4536-bb17-d986b5a3d863
1CP-BW-COURS-TUE-W1,BW,cours,2026-04-15,11:00,12:30,AMPHI-B,58066993-ad1d-45b6-8a92-7b5a8b63ba60
1CP-ELEF1-COURS-TUE-W1,ELEF1,cours,2026-04-15,13:30,15:00,AMPHI-B,6874deb8-2008-48fc-9231-4f0f9b1ffa66
1CP-ELECT-COURS-TUE-W1,ELECT,cours,2026-04-15,15:00,16:30,AMPHI-B,6874deb8-2008-48fc-9231-4f0f9b1ffa66
1CP-MECA-COURS-WED-W1,MECA,cours,2026-04-16,08:00,09:30,AMPHI-A,895e675a-2394-4cf5-90da-87dcc5f80380
1CP-ANG1-TD-WED-G1-W1,ANG1,TD,2026-04-16,09:30,11:00,S-101,b78f369c-d0fa-4b4f-bec5-8852a58a3382
1CP-ANG1-TD-WED-G2-W1,ANG1,TD,2026-04-16,11:00,12:30,S-101,b78f369c-d0fa-4b4f-bec5-8852a58a3382
1CP-PRST1-TD-WED-G1-W1,PRST1,TD,2026-04-16,13:30,15:00,S-102,895e675a-2394-4cf5-90da-87dcc5f80380
1CP-PRST1-TD-WED-G2-W1,PRST1,TD,2026-04-16,15:00,16:30,S-102,895e675a-2394-4cf5-90da-87dcc5f80380
1CP-SYST1-TD-THU-G1-W1,SYST1,TD,2026-04-17,08:00,09:30,S-103,327f3113-2d2c-4988-96bc-4f0994015c92
1CP-SYST1-TD-THU-G2-W1,SYST1,TD,2026-04-17,09:30,11:00,S-103,327f3113-2d2c-4988-96bc-4f0994015c92
1CP-LOGM-TD-THU-G1-W1,LOGM,TD,2026-04-17,11:00,12:30,S-102,2bc5e946-a188-4392-b298-6efac7889ef6
1CP-TEE-COURS-THU-W1,TEE,cours,2026-04-17,13:30,15:00,AMPHI-B,b78f369c-d0fa-4b4f-bec5-8852a58a3382
1CP-ELEF1-TP-THU-G1-W1,ELEF1,TP,2026-04-17,15:00,16:30,LAB-INFO-1,6874deb8-2008-48fc-9231-4f0f9b1ffa66
